customer_id,account_id,account_type,account_open_date,kyc_verified_status,customer_age,customer_occupation,customer_income_range,customer_risk_category,credit_score,average_monthly_balance,is_mule_account
CUST00028,ACC00028,Savings,2026-01-03,Verified,37,Business,Medium,Medium,310,14153,1
CUST00029,ACC00029,Current,2025-11-05,Verified,64,Engineer,Low,High,524,4127,1
CUST00030,ACC00030,Savings,2025-09-25,Verified,31,Student,Low,Medium,555,16260,1
CUST00031,ACC00031,Current,2026-01-12,Pending,61,Freelancer,Low,High,528,6402,1
CUST00032,ACC00032,Current,2026-02-24,Verified,60,Teacher,Low,Medium,319,14042,1
CUST00033,ACC00033,Savings,2025-09-14,Verified,57,Teacher,Low,Medium,414,3152,1
CUST00034,ACC00034,Savings,2026-01-26,Pending,34,Business,Low,High,344,10747,1
CUST00035,ACC00035,Savings,2026-02-10,Verified,33,Student,Low,High,575,8086,1
CUST00036,ACC00036,Savings,2026-01-11,Pending,46,Engineer,Medium,Medium,582,9386,1
CUST00037,ACC00037,Current,2025-09-08,Verified,27,Freelancer,Medium,Medium,403,15648,1
CUST00038,ACC00038,Savings,2026-02-07,Verified,38,Freelancer,Low,High,431,3389,1
CUST00039,ACC00039,Savings,2026-01-25,Verified,31,Freelancer,Medium,High,438,13396,1
CUST00040,ACC00040,Savings,2025-09-02,Verified,63,Freelancer,Medium,Medium,423,17631,1
CUST00041,ACC00041,Savings,2025-11-29,Verified,18,Student,Low,High,325,6129,1
CUST00042,ACC00042,Savings,2026-02-06,Verified,18,Student,Medium,High,513,1714,1
CUST00043,ACC00043,Savings,2025-12-13,Verified,45,Engineer,Low,Medium,563,19009,1
CUST00044,ACC00044,Savings,2025-11-08,Verified,41,Engineer,Low,Medium,459,9492,1
CUST00045,ACC00045,Savings,2026-01-11,Verified,64,Unemployed,Low,Medium,410,17341,1
CUST00046,ACC00046,Current,2026-02-18,Verified,51,Teacher,Medium,Medium,580,2117,1
CUST00047,ACC00047,Savings,2025-09-19,Verified,40,Business,Low,High,554,19162,1
CUST00048,ACC00048,Current,2026-02-15,Verified,62,Engineer,Medium,Medium,518,15651,1
CUST00049,ACC00049,Current,2025-11-26,Pending,56,Unemployed,Medium,High,325,11006,1
CUST00050,ACC00050,Savings,2026-01-15,Verified,18,Freelancer,Low,Medium,344,3157,1
CUST00051,ACC00051,Current,2026-02-07,Verified,28,Engineer,Medium,High,335,5965,1
CUST00052,ACC00052,Current,2025-10-06,Verified,32,Freelancer,Medium,High,331,4758,1
CUST00053,ACC00053,Current,2026-01-18,Verified,56,Business,Low,High,342,10027,1
CUST00054,ACC00054,Current,2026-02-14,Verified,39,Teacher,Low,Medium,504,13507,1
CUST00055,ACC00055,Current,2025-10-13,Verified,38,Unemployed,Low,Medium,588,15222,1
CUST00056,ACC00056,Savings,2026-01-10,Verified,25,Freelancer,Medium,Medium,455,6649,1
CUST00057,ACC00057,Savings,2025-10-21,Verified,40,Student,Medium,Medium,405,18603,1
CUST00058,ACC00058,Savings,2025-12-13,Verified,65,Freelancer,Low,High,441,9069,1
CUST00059,ACC00059,Savings,2025-11-04,Pending,33,Freelancer,Low,High,312,12636,1
CUST00060,ACC00060,Current,2025-12-14,Pending,57,Unemployed,Medium,High,578,18370,1
CUST00061,ACC00061,Current,2025-10-10,Verified,39,Engineer,Medium,Medium,564,1068,1
CUST00062,ACC00062,Current,2026-01-26,Verified,33,Student,Low,Medium,315,10015,1
CUST00063,ACC00063,Current,2025-12-14,Verified,21,Student,Low,High,549,17523,1
CUST00064,ACC00064,Savings,2025-11-19,Verified,47,Student,Low,High,520,17859,1
CUST00065,ACC00065,Current,2025-09-28,Verified,55,Student,Medium,Medium,420,6395,1
CUST00066,ACC00066,Savings,2026-02-02,Pending,50,Engineer,Medium,High,590,2706,1
CUST00067,ACC00067,Savings,2025-10-20,Verified,48,Business,Low,High,362,14229,1
CUST00068,ACC00068,Savings,2026-02-11,Pending,52,Business,Low,High,308,13190,1
CUST00069,ACC00069,Current,2026-02-07,Verified,20,Teacher,Low,Medium,422,5759,1
CUST00070,ACC00070,Current,2025-10-27,Verified,57,Unemployed,Low,High,471,17583,1
CUST00071,ACC00071,Savings,2025-10-03,Verified,20,Business,Medium,Medium,368,8481,1
CUST00072,ACC00072,Savings,2025-11-26,Verified,29,Freelancer,Low,High,374,1093,1
CUST00073,ACC00073,Savings,2026-02-27,Verified,60,Engineer,Low,Medium,463,13897,1
CUST00074,ACC00074,Savings,2026-02-26,Verified,32,Teacher,Low,Medium,509,18010,1
CUST00075,ACC00075,Savings,2025-12-03,Verified,26,Unemployed,Low,High,479,1255,1
CUST00076,ACC00076,Savings,2025-09-09,Verified,35,Unemployed,Low,High,435,3468,1
CUST00077,ACC00077,Current,2025-10-21,Pending,59,Business,Low,High,339,18204,1
CUST00078,ACC00078,Savings,2025-09-11,Verified,28,Freelancer,Low,High,338,19296,1
CUST00079,ACC00079,Savings,2025-11-27,Verified,26,Freelancer,Low,High,377,13266,1
CUST00080,ACC00080,Savings,2026-02-18,Verified,23,Unemployed,Low,High,508,16948,1
CUST00081,ACC00081,Savings,2026-01-03,Verified,65,Unemployed,Low,Medium,387,8581,1
CUST00082,ACC00082,Savings,2025-09-04,Verified,62,Freelancer,Medium,Medium,345,3895,1
CUST00083,ACC00083,Savings,2025-10-18,Verified,52,Teacher,Medium,Medium,304,4160,1
CUST00084,ACC00084,Current,2025-11-17,Verified,43,Business,Medium,High,412,13774,1
CUST00085,ACC00085,Savings,2026-02-25,Verified,57,Freelancer,Low,Medium,556,6100,1
CUST00086,ACC00086,Savings,2026-01-31,Verified,46,Freelancer,Low,High,311,19377,1
CUST00087,ACC00087,Current,2025-09-15,Verified,32,Engineer,Low,High,351,16999,1
CUST00088,ACC00088,Current,2025-12-24,Verified,62,Unemployed,Medium,Medium,587,3602,1
CUST00089,ACC00089,Current,2026-01-02,Verified,57,Freelancer,Low,Medium,529,17860,1
CUST00090,ACC00090,Savings,2025-11-08,Pending,31,Teacher,Medium,Medium,581,10193,1
CUST00091,ACC00091,Current,2025-11-22,Verified,34,Student,Low,High,320,19209,1
CUST00092,ACC00092,Savings,2025-10-10,Verified,59,Teacher,Medium,Medium,536,6150,1
CUST00093,ACC00093,Savings,2025-09-25,Verified,62,Engineer,Low,High,576,4162,1
CUST00094,ACC00094,Current,2025-09-25,Pending,63,Unemployed,Low,High,414,5074,1
CUST00095,ACC00095,Current,2026-02-21,Verified,29,Teacher,Low,High,328,6303,1
CUST00096,ACC00096,Savings,2025-12-22,Pending,41,Teacher,Medium,Medium,409,5990,1
CUST00097,ACC00097,Current,2026-02-23,Verified,43,Freelancer,Low,Medium,597,3754,1
CUST00098,ACC00098,Savings,2025-09-18,Verified,21,Freelancer,Medium,High,591,2498,1
CUST00099,ACC00099,Savings,2025-12-23,Pending,31,Engineer,Medium,Medium,538,13915,1
CUST00100,ACC00100,Current,2025-12-17,Verified,56,Engineer,Medium,High,331,1481,1
CUST00101,ACC00101,Current,2026-01-28,Verified,20,Freelancer,Low,Medium,319,16686,1
CUST00102,ACC00102,Current,2025-11-25,Verified,61,Unemployed,Low,High,359,15115,1
CUST00103,ACC00103,Current,2025-09-27,Verified,40,Engineer,Low,Medium,460,3327,1
CUST00104,ACC00104,Savings,2025-11-15,Verified,65,Unemployed,Low,High,407,4029,1
CUST00105,ACC00105,Savings,2026-01-10,Verified,63,Unemployed,Low,High,424,2229,1
CUST00106,ACC00106,Savings,2025-12-25,Verified,49,Unemployed,Low,High,304,5741,1
CUST00107,ACC00107,Current,2025-10-17,Pending,47,Teacher,Low,High,591,8374,1
CUST00108,ACC00108,Current,2026-02-14,Verified,41,Engineer,Low,High,403,6754,1
CUST00109,ACC00109,Savings,2026-01-28,Verified,59,Freelancer,Medium,High,407,12176,1
CUST00110,ACC00110,Savings,2025-11-05,Verified,34,Student,Medium,Medium,491,15885,1
CUST00111,ACC00111,Current,2026-01-13,Pending,42,Business,Low,Medium,450,3316,1
CUST00112,ACC00112,Current,2025-09-29,Verified,40,Student,Medium,High,549,2377,1
CUST00113,ACC00113,Current,2025-11-01,Verified,18,Business,Low,High,427,12231,1
CUST00114,ACC00114,Savings,2025-11-11,Verified,45,Teacher,Medium,High,305,13361,1
CUST00115,ACC00115,Savings,2026-01-25,Pending,64,Freelancer,Low,High,325,6488,1
CUST00116,ACC00116,Current,2025-12-02,Verified,33,Business,Low,Medium,530,13604,1
CUST00117,ACC00117,Savings,2025-09-01,Verified,19,Unemployed,Low,High,485,11546,1
CUST00118,ACC00118,Savings,2026-02-18,Verified,42,Engineer,Low,High,331,2128,1
CUST00119,ACC00119,Savings,2025-12-30,Pending,44,Freelancer,Low,Medium,367,15280,1
CUST00120,ACC00120,Current,2025-09-09,Pending,63,Business,Low,Medium,382,8301,1
CUST00121,ACC00121,Savings,2026-02-12,Verified,26,Unemployed,Low,Medium,422,15000,1
CUST00122,ACC00122,Savings,2025-12-31,Pending,50,Unemployed,Low,Medium,397,6241,1
CUST00123,ACC00123,Current,2025-11-23,Verified,38,Business,Low,Medium,498,14606,1
CUST00124,ACC00124,Savings,2026-01-27,Verified,30,Unemployed,Low,Medium,503,13804,1
CUST00125,ACC00125,Savings,2025-11-29,Verified,65,Engineer,Low,Medium,371,3704,1
CUST00126,ACC00126,Current,2026-01-25,Verified,45,Student,Low,Medium,501,15633,1
CUST00127,ACC00127,Current,2025-11-19,Pending,47,Student,Low,High,496,8256,1
CUST00128,ACC00128,Savings,2025-12-22,Verified,55,Engineer,Medium,Medium,417,5278,1
CUST00129,ACC00129,Current,2026-01-31,Verified,45,Engineer,Low,Medium,457,8085,1
CUST00130,ACC00130,Current,2025-11-30,Verified,29,Business,Low,High,379,15793,1
CUST00131,ACC00131,Current,2025-09-15,Verified,65,Engineer,Medium,Medium,590,2255,1
CUST00132,ACC00132,Savings,2025-10-27,Verified,38,Unemployed,Low,High,590,13796,1
CUST00133,ACC00133,Current,2025-11-10,Verified,44,Freelancer,Low,High,384,9745,1
CUST00134,ACC00134,Current,2025-12-14,Verified,61,Unemployed,Low,Medium,595,8981,1
CUST00135,ACC00135,Savings,2025-10-24,Verified,51,Unemployed,Medium,Medium,545,19584,1
CUST00136,ACC00136,Savings,2025-12-03,Verified,24,Unemployed,Low,High,594,6541,1
CUST00137,ACC00137,Savings,2026-02-18,Verified,46,Teacher,Low,Medium,561,5378,1
CUST00138,ACC00138,Current,2026-02-15,Verified,28,Student,Low,High,321,18771,1
CUST00139,ACC00139,Savings,2025-10-23,Pending,53,Teacher,Medium,Medium,400,6817,1
CUST00140,ACC00140,Current,2026-02-27,Verified,23,Teacher,Medium,Medium,416,8438,1
CUST00141,ACC00141,Savings,2026-02-08,Verified,45,Unemployed,Low,Medium,512,16789,1
CUST00142,ACC00142,Savings,2026-02-20,Verified,25,Unemployed,Low,High,405,17983,1
CUST00143,ACC00143,Current,2025-09-23,Verified,46,Teacher,Medium,High,514,3034,1
CUST00144,ACC00144,Current,2026-02-25,Verified,34,Business,Low,High,493,12815,1
CUST00145,ACC00145,Savings,2025-10-15,Pending,56,Business,Medium,Medium,470,16156,1
CUST00146,ACC00146,Savings,2025-10-24,Pending,52,Engineer,Low,High,414,7072,1
CUST00147,ACC00147,Current,2025-11-15,Verified,27,Freelancer,Low,Medium,534,4752,1
CUST00148,ACC00148,Savings,2025-09-11,Pending,32,Engineer,Low,Medium,381,19279,1
CUST00149,ACC00149,Savings,2026-02-04,Verified,59,Student,Low,Medium,382,15578,1
CUST00150,ACC00150,Current,2025-12-28,Verified,37,Unemployed,Low,Medium,459,2346,1
CUST00151,ACC00151,Savings,2026-01-10,Verified,49,Teacher,Low,High,323,18572,1
CUST00152,ACC00152,Savings,2025-12-21,Pending,20,Freelancer,Medium,Medium,374,8582,1
CUST00153,ACC00153,Current,2025-11-07,Verified,27,Unemployed,Low,Medium,303,1474,1
CUST00154,ACC00154,Savings,2026-02-01,Verified,18,Engineer,Low,High,380,9606,1
CUST00155,ACC00155,Current,2025-10-31,Pending,55,Student,Low,High,360,7940,1
CUST00156,ACC00156,Savings,2026-01-23,Verified,65,Unemployed,Medium,High,320,2961,1
CUST00157,ACC00157,Current,2025-11-17,Verified,27,Freelancer,Low,Medium,523,9533,1
CUST00158,ACC00158,Current,2026-01-26,Pending,44,Engineer,Low,High,314,6545,1
CUST00159,ACC00159,Current,2025-10-12,Verified,60,Engineer,Low,High,542,13924,1
CUST00160,ACC00160,Savings,2025-10-31,Pending,35,Engineer,Low,High,479,7867,1
CUST00161,ACC00161,Current,2025-09-12,Verified,27,Unemployed,Medium,High,324,11810,1
CUST00162,ACC00162,Current,2025-09-06,Verified,26,Freelancer,Low,High,461,13403,1
CUST00163,ACC00163,Current,2026-02-22,Verified,33,Student,Medium,Medium,400,5906,1
CUST00164,ACC00164,Current,2025-09-29,Pending,33,Engineer,Low,High,484,10909,1
CUST00165,ACC00165,Savings,2026-01-27,Verified,19,Engineer,Medium,High,416,3596,1
CUST00166,ACC00166,Savings,2025-10-30,Verified,45,Freelancer,Medium,Medium,368,12644,1
CUST00167,ACC00167,Savings,2025-09-17,Verified,49,Teacher,Low,High,410,13475,1
CUST00168,ACC00168,Current,2025-11-04,Verified,36,Engineer,Low,Medium,528,11104,1
CUST00169,ACC00169,Savings,2025-09-16,Verified,60,Engineer,Medium,Medium,442,2170,1
CUST00170,ACC00170,Current,2025-09-02,Pending,49,Unemployed,Medium,Medium,595,4266,1
CUST00171,ACC00171,Current,2025-11-28,Verified,54,Engineer,Medium,Medium,462,10834,1
CUST00172,ACC00172,Current,2026-02-27,Verified,64,Business,Low,Medium,318,13188,1
CUST00173,ACC00173,Current,2025-12-17,Verified,24,Student,Low,High,361,12086,1
CUST00174,ACC00174,Savings,2025-09-21,Verified,57,Student,Medium,Medium,522,3640,1
CUST00175,ACC00175,Savings,2025-09-02,Verified,42,Teacher,Low,High,311,3353,1
CUST00176,ACC00176,Current,2026-01-28,Verified,38,Student,Low,High,558,5641,1
CUST00177,ACC00177,Savings,2026-02-27,Verified,20,Student,Low,Medium,513,3890,1
CUST00178,ACC00178,Current,2026-02-24,Verified,40,Teacher,Low,Medium,598,12091,1
CUST00179,ACC00179,Savings,2025-10-20,Verified,65,Unemployed,Low,Medium,421,18618,1
CUST00180,ACC00180,Current,2025-10-25,Verified,40,Unemployed,Low,Medium,556,6749,1
CUST00181,ACC00181,Current,2025-10-08,Verified,45,Student,Low,High,580,11559,1
CUST00182,ACC00182,Current,2026-01-08,Verified,47,Business,Medium,High,599,12038,1
CUST00183,ACC00183,Current,2025-11-30,Verified,22,Student,Low,Medium,482,3423,1
CUST00184,ACC00184,Current,2025-11-12,Verified,27,Business,Low,Medium,546,19739,1
CUST00185,ACC00185,Savings,2025-11-08,Verified,35,Freelancer,Medium,Medium,469,12066,1
CUST00186,ACC00186,Current,2025-11-03,Verified,52,Student,Low,High,309,16887,1
CUST00187,ACC00187,Current,2025-11-27,Verified,53,Business,Low,High,369,17327,1
CUST00188,ACC00188,Savings,2026-02-14,Verified,37,Student,Low,Medium,361,5857,1
CUST00189,ACC00189,Savings,2025-12-15,Verified,29,Teacher,Low,Medium,349,14998,1
CUST00190,ACC00190,Savings,2025-12-16,Verified,53,Business,Low,Medium,529,10552,1
CUST00191,ACC00191,Savings,2025-10-04,Verified,43,Engineer,Low,Medium,370,15164,1
CUST00192,ACC00192,Current,2026-02-04,Verified,38,Business,Medium,Medium,408,6484,1
CUST00193,ACC00193,Current,2026-02-08,Verified,19,Business,Medium,Medium,592,8070,1
CUST00194,ACC00194,Savings,2026-01-02,Verified,44,Teacher,Low,Medium,479,18775,1
CUST00195,ACC00195,Savings,2025-11-17,Verified,26,Engineer,Low,High,489,1303,1
CUST00196,ACC00196,Current,2025-11-22,Verified,43,Student,Medium,Medium,403,13845,1
CUST00197,ACC00197,Current,2025-12-28,Verified,42,Student,Medium,High,453,7355,1
CUST00198,ACC00198,Savings,2025-09-05,Pending,22,Student,Low,High,595,11480,1
CUST00199,ACC00199,Current,2026-02-10,Verified,29,Student,Low,Medium,326,17980,1
CUST00200,ACC00200,Savings,2025-10-03,Verified,34,Teacher,Low,High,562,13609,1
CUST00201,ACC00201,Savings,2026-02-01,Pending,52,Freelancer,Medium,Medium,501,5955,1
CUST00202,ACC00202,Current,2026-01-27,Verified,24,Student,Medium,High,483,1865,1
CUST00203,ACC00203,Savings,2025-09-23,Verified,22,Business,Low,Medium,353,17163,1
CUST00204,ACC00204,Savings,2025-10-15,Pending,24,Business,Low,High,400,13254,1
CUST00205,ACC00205,Savings,2026-01-17,Verified,45,Business,Low,Medium,516,3895,1
CUST00206,ACC00206,Current,2025-09-01,Pending,32,Freelancer,Low,Medium,318,3294,1
CUST00207,ACC00207,Current,2025-10-17,Pending,47,Unemployed,Medium,High,347,18143,1
CUST00208,ACC00208,Current,2026-02-22,Pending,55,Engineer,Low,Medium,478,16521,1
CUST00209,ACC00209,Current,2025-09-25,Verified,38,Business,Low,High,333,4071,1
CUST00210,ACC00210,Current,2026-01-04,Verified,64,Engineer,Low,Medium,503,19699,1
CUST00211,ACC00211,Current,2025-10-03,Verified,63,Student,Low,Medium,417,7902,1
CUST00212,ACC00212,Savings,2026-02-07,Verified,22,Freelancer,Low,High,429,15524,1
CUST00213,ACC00213,Current,2026-02-06,Verified,21,Unemployed,Low,High,513,10636,1
CUST00214,ACC00214,Savings,2025-11-24,Pending,62,Engineer,Medium,High,399,9332,1
CUST00215,ACC00215,Savings,2025-10-22,Verified,39,Student,Low,High,432,11427,1
CUST00216,ACC00216,Savings,2026-01-29,Verified,35,Freelancer,Medium,High,332,7353,1
CUST00217,ACC00217,Savings,2026-01-21,Verified,32,Freelancer,Medium,High,542,5604,1
CUST00218,ACC00218,Current,2026-01-22,Verified,18,Student,Medium,High,478,3447,1
CUST00219,ACC00219,Savings,2026-01-23,Verified,39,Unemployed,Low,High,483,4739,1
CUST00220,ACC00220,Current,2025-12-31,Verified,43,Unemployed,Low,High,434,3397,1
CUST00221,ACC00221,Savings,2025-12-08,Pending,54,Teacher,Low,High,362,11523,1
CUST00222,ACC00222,Current,2025-11-22,Verified,31,Business,Low,Medium,550,2868,1
CUST00223,ACC00223,Savings,2026-01-08,Verified,44,Freelancer,Low,Medium,509,3264,1
CUST00224,ACC00224,Savings,2025-09-26,Verified,33,Teacher,Low,High,478,12094,1
CUST00225,ACC00225,Savings,2025-11-11,Pending,62,Engineer,Low,High,466,4093,1
CUST00226,ACC00226,Current,2025-11-06,Verified,48,Student,Medium,Medium,496,10095,1
CUST00227,ACC00227,Savings,2026-01-03,Verified,44,Business,Low,High,593,17223,1
CUST00228,ACC00228,Savings,2025-12-07,Verified,38,Unemployed,Low,Medium,398,9188,1
CUST00229,ACC00229,Savings,2025-11-28,Verified,33,Unemployed,Low,Medium,494,18682,1
CUST00230,ACC00230,Current,2026-02-10,Verified,20,Business,Low,High,381,16085,1
CUST00231,ACC00231,Current,2025-12-20,Verified,27,Teacher,Low,Medium,401,6226,1
CUST00232,ACC00232,Current,2026-01-09,Verified,63,Freelancer,Medium,Medium,528,4836,1
CUST00233,ACC00233,Savings,2025-10-05,Verified,46,Student,Low,Medium,302,1642,1
CUST00234,ACC00234,Current,2025-10-04,Verified,40,Freelancer,Low,High,368,15814,1
CUST00235,ACC00235,Current,2025-12-11,Verified,18,Teacher,Low,High,451,18169,1
CUST00236,ACC00236,Current,2025-11-22,Verified,20,Teacher,Medium,Medium,569,14142,1
CUST00237,ACC00237,Current,2026-01-22,Pending,18,Teacher,Low,High,547,1558,1
CUST00238,ACC00238,Current,2026-02-08,Pending,40,Freelancer,Medium,High,543,5106,1
CUST00239,ACC00239,Savings,2025-11-17,Pending,49,Business,Medium,High,410,11297,1
CUST00240,ACC00240,Current,2026-02-20,Verified,30,Unemployed,Low,Medium,363,5705,1
CUST00241,ACC00241,Savings,2025-09-05,Verified,42,Business,Low,Medium,482,5681,1
CUST00242,ACC00242,Current,2025-10-28,Verified,28,Teacher,Medium,High,537,1664,1
CUST00243,ACC00243,Current,2025-10-04,Pending,46,Teacher,Medium,High,380,17989,1
CUST00244,ACC00244,Savings,2025-09-02,Verified,28,Unemployed,Low,Medium,325,9119,1
CUST00245,ACC00245,Savings,2026-02-10,Verified,25,Freelancer,Low,High,381,16413,1
CUST00246,ACC00246,Savings,2026-02-07,Verified,59,Business,Low,Medium,487,11357,1
CUST00247,ACC00247,Savings,2025-10-22,Verified,31,Engineer,Low,Medium,407,18583,1
CUST00248,ACC00248,Current,2026-01-19,Verified,30,Freelancer,Low,High,423,18593,1
CUST00249,ACC00249,Current,2026-02-17,Verified,59,Business,Medium,High,372,2463,1
CUST00250,ACC00250,Savings,2025-10-19,Verified,25,Unemployed,Low,High,322,9526,1
CUST00251,ACC00251,Current,2024-01-25,Verified,31,Student,Low,Low,751,115984,0
CUST00252,ACC00252,Savings,2022-09-02,Verified,22,Teacher,Medium,Medium,633,52787,0
CUST00253,ACC00253,Savings,2023-12-03,Verified,41,Unemployed,Low,Low,631,80433,0
CUST00254,ACC00254,Current,2024-06-18,Verified,20,Unemployed,Low,Low,652,316907,0
CUST00255,ACC00255,Current,2024-01-12,Verified,59,Freelancer,Low,Low,631,496397,0
CUST00256,ACC00256,Savings,2025-01-11,Pending,19,Student,Medium,Low,667,148795,0
CUST00257,ACC00257,Current,2023-05-09,Verified,28,Engineer,Low,Low,642,164421,0
CUST00258,ACC00258,Savings,2022-05-10,Verified,50,Freelancer,High,Medium,840,210090,0
CUST00259,ACC00259,Current,2024-12-13,Verified,50,Student,High,Medium,641,405437,0
CUST00260,ACC00260,Current,2024-01-14,Verified,53,Unemployed,Low,Medium,816,302257,0
CUST00261,ACC00261,Savings,2022-03-15,Verified,61,Engineer,High,Medium,786,171993,0
CUST00262,ACC00262,Savings,2022-01-26,Verified,20,Business,Low,Low,823,128815,0
CUST00263,ACC00263,Savings,2024-06-15,Pending,64,Teacher,Low,Medium,677,448816,0
CUST00264,ACC00264,Savings,2023-12-29,Verified,26,Engineer,Low,Low,781,349203,0
CUST00265,ACC00265,Current,2024-10-03,Pending,35,Business,High,Low,849,438534,0
CUST00266,ACC00266,Savings,2023-11-19,Verified,18,Student,High,Medium,824,277537,0
CUST00267,ACC00267,Savings,2023-08-27,Verified,62,Student,High,Low,768,233398,0
CUST00268,ACC00268,Current,2022-06-25,Verified,23,Student,Medium,Medium,678,471715,0
CUST00269,ACC00269,Savings,2024-01-25,Pending,30,Freelancer,Medium,Medium,730,475804,0
CUST00270,ACC00270,Current,2022-04-10,Verified,58,Unemployed,High,Medium,723,322927,0
CUST00271,ACC00271,Savings,2024-04-03,Verified,60,Teacher,High,Medium,786,109644,0
CUST00272,ACC00272,Savings,2022-08-21,Pending,36,Business,Medium,Low,810,317495,0
CUST00273,ACC00273,Current,2023-04-06,Pending,27,Business,High,Low,646,174380,0
CUST00274,ACC00274,Savings,2023-01-13,Verified,40,Business,High,Medium,622,353234,0
CUST00275,ACC00275,Savings,2023-11-28,Verified,24,Business,Medium,Low,717,118500,0
CUST00276,ACC00276,Savings,2025-08-05,Verified,29,Unemployed,High,Medium,706,195261,0
CUST00277,ACC00277,Current,2022-03-16,Verified,43,Business,High,Low,823,102641,0
CUST00278,ACC00278,Savings,2022-11-23,Verified,44,Unemployed,High,Low,670,100509,0
CUST00279,ACC00279,Current,2022-03-27,Verified,35,Unemployed,High,Medium,735,306774,0
CUST00280,ACC00280,Current,2024-08-21,Pending,50,Unemployed,Medium,Medium,773,126386,0
CUST00281,ACC00281,Savings,2024-05-04,Verified,36,Student,Medium,Medium,728,43478,0
CUST00282,ACC00282,Savings,2023-04-01,Pending,20,Student,Medium,Medium,693,458325,0
CUST00283,ACC00283,Current,2023-10-01,Pending,50,Engineer,High,Low,820,370070,0
CUST00284,ACC00284,Current,2022-09-20,Verified,24,Freelancer,Medium,Low,829,153324,0
CUST00285,ACC00285,Savings,2023-07-18,Pending,48,Student,Low,Medium,758,486081,0
CUST00286,ACC00286,Savings,2024-12-24,Verified,48,Teacher,Medium,Medium,775,264379,0
CUST00287,ACC00287,Savings,2025-08-29,Verified,32,Unemployed,Medium,Low,807,143823,0
CUST00288,ACC00288,Savings,2023-06-02,Verified,53,Engineer,Medium,Medium,719,412527,0
CUST00289,ACC00289,Current,2023-04-05,Pending,56,Business,Low,Medium,846,294061,0
CUST00290,ACC00290,Current,2023-09-14,Verified,47,Business,Medium,Medium,792,249565,0
CUST00291,ACC00291,Current,2025-04-14,Verified,54,Unemployed,Medium,Medium,770,27822,0
CUST00292,ACC00292,Current,2022-05-10,Verified,30,Student,Low,Medium,803,286149,0
CUST00293,ACC00293,Savings,2025-06-22,Verified,45,Freelancer,Medium,Medium,601,63568,0
CUST00294,ACC00294,Savings,2024-06-30,Verified,65,Freelancer,Low,Medium,838,38631,0
CUST00295,ACC00295,Current,2025-06-11,Pending,38,Engineer,Medium,Medium,702,317564,0
CUST00296,ACC00296,Current,2025-03-01,Pending,35,Teacher,Medium,Low,834,276207,0
CUST00297,ACC00297,Current,2023-03-31,Verified,61,Business,High,Medium,654,172952,0
